"Index","RGBI_measurement","HSV_measurement","color_measurement","ambient_measurement","reflected_measurement","color_real"
0,"[198, 200, 198, 198]","(180, 0, 97)",white,0,98,yellow
1,"[190, 191, 191, 190]","(180, 0, 97)",white,1,74,yellow
2,"[162, 190, 184, 163]","(180, 0, 97)",white,0,74,yellow
3,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
4,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,yellow
5,"[127, 127, 127, 127]","(180, 0, 97)",white,0,98,yellow
6,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
7,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
8,"[161, 188, 182, 162]","(180, 0, 97)",white,0,98,yellow
9,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
10,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
11,"[127, 127, 127, 127]","(180, 0, 97)",white,0,74,yellow
12,"[190, 191, 191, 190]","(180, 0, 97)",white,1,74,yellow
13,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,yellow
14,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
15,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,yellow
16,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,yellow
17,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
18,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
19,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,yellow
20,"[164, 175, 172, 165]","(180, 0, 97)",white,0,98,yellow
21,"[189, 191, 191, 189]","(180, 0, 97)",white,0,98,yellow
22,"[127, 127, 127, 127]","(180, 0, 97)",white,1,74,yellow
23,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
24,"[190, 191, 191, 190]","(180, 0, 97)",white,1,74,yellow
25,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,yellow
26,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,yellow
27,"[190, 191, 191, 190]","(180, 0, 97)",white,1,74,yellow
28,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
29,"[190, 191, 191, 190]","(180, 0, 97)",white,1,74,yellow
30,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
31,"[213, 220, 218, 214]","(180, 0, 97)",white,0,98,yellow
32,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,yellow
33,"[160, 186, 180, 160]","(180, 0, 97)",white,0,74,yellow
34,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,yellow
35,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,yellow
36,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
37,"[127, 127, 127, 127]","(180, 0, 97)",white,0,98,yellow
38,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,yellow
39,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,yellow
40,"[190, 191, 191, 190]","(209, 0, 97)",white,0,74,yellow
41,"[190, 190, 191, 190]","(226, 0, 97)",white,0,74,yellow
42,"[190, 190, 190, 190]","(187, 0, 97)",white,0,74,yellow
43,"[190, 190, 190, 190]","(187, 0, 97)",white,1,74,yellow
44,"[190, 190, 190, 190]","(180, 0, 97)",white,0,98,yellow
45,"[190, 190, 190, 190]","(180, 0, 97)",white,0,98,yellow
46,"[239, 252, 249, 239]","(180, 0, 97)",white,0,74,yellow
47,"[190, 190, 190, 190]","(180, 0, 97)",white,0,74,yellow
48,"[127, 127, 127, 127]","(180, 0, 97)",white,0,98,yellow
49,"[131, 131, 130, 131]","(194, 0, 97)",white,0,75,yellow
50,"[127, 127, 127, 127]","(180, 0, 97)",white,0,75,yellow
51,"[190, 190, 190, 189]","(150, 0, 97)",white,0,97,yellow
52,"[189, 189, 189, 189]","(165, 0, 96)",white,0,76,yellow
53,"[155, 180, 176, 154]","(150, 0, 97)",white,0,75,yellow
54,"[190, 190, 190, 189]","(150, 0, 97)",white,0,75,yellow
55,"[189, 189, 189, 188]","(139, 0, 96)",white,0,95,yellow
56,"[190, 190, 190, 189]","(150, 0, 97)",white,0,98,yellow
57,"[190, 190, 190, 190]","(210, 0, 97)",white,0,75,yellow
58,"[190, 190, 190, 190]","(180, 0, 97)",white,0,98,yellow
59,"[190, 190, 190, 190]","(191, 0, 97)",white,0,98,yellow
